Comuna,NºRegion,ELAs por comuna,,Lat,Long
Arica,15,173,,,
Camarones,15,2,,,
Putre,15,5,,,
General Lagos,15,1,,,
Iquique,1,175,,,
Alto Hospicio,1,24,,,
Pozo Almonte,1,14,,,
Camiña,1,2,,,
Colchane,1,3,,,
Huara,1,5,,,
Pica,1,13,,,
Antofagasta,2,210,,,
Mejillones,2,6,,,
Sierra Gorda,2,1,,,
Taltal,2,4,,,
Calama,2,147,,,
Ollagüe,2,0,,,
San Pedro de Atacama,2,3,,,
Tocopilla,2,14,,,
María Elena,2,2,,,
Copiapó,3,129,,,
Caldera,3,11,,,
Tierra Amarilla,3,16,,,
Chañaral,3,8,,,
Diego de Almagro,3,27,,,
Vallenar,3,32,,,
Alto del Carmen,3,2,,,
Freirina,3,5,,,
Huasco,3,2,,,
Coquimbo,4,95,,,
La Serena,4,159,,,
Andacollo,4,8,,,
La Higuera,4,6,,,
Paihuano,4,12,,,
Vicuña,4,12,,,
Illapel,4,29,,,
Canela,4,21,,,
Los Vilos,4,30,,,
Salamanca,4,27,,,
Ovalle,4,52,,,
Combarbalá,4,14,,,
Monte Patria,4,21,,,
Punitaqui,4,6,,,
Río Hurtado,4,12,,,
Valparaíso,5,292,,,
Viña del Mar,5,207,,,
Casablanca,5,12,,,
Concón,5,44,,,
Juan Fernández,5,1,,,
Puchuncaví,5,6,,,
Quintero,5,10,,,
La Calera,5,30,,,
Isla de Pascua,5,7,,,
Los Andes,5,86,,,
Calle Larga,5,6,,,
Rinconada,5,6,,,
San Esteban,5,9,,,
La Ligua,5,22,,,
Cabildo,5,9,,,
Papudo,5,4,,,
Petorca,5,6,,,
Zapallar,5,3,,,
Quillota,5,60,,,
Hijuelas,5,5,,,
La Cruz,5,10,,,
Nogales,5,10,,,
San Antonio,5,43,,,
Algarrobo,5,15,,,
Cartagena,5,12,,,
El Quisco,5,8,,,
El Tabo,5,8,,,
Santo Domingo,5,6,,,
San Felipe,5,67,,,
Catemu,5,8,,,
Llaillay,5,10,,,
Panquehue,5,5,,,
Putaendo,5,10,,,
Santa María,5,7,,,
Quilpué,5,80,,,
Limache,5,24,,,
Olmué,5,14,,,
Villa Alemana,5,52,,,
Rancagua,6,148,,,
Codegua,6,9,,,
Coínco,6,2,,,
Coltauco,6,7,,,
Doñihue,6,17,,,
Graneros,6,18,,,
Las Cabras,6,13,,,
Machalí,6,43,,,
Malloa,6,4,,,
Mostazal,6,10,,,
Olivar,6,5,,,
Peumo,6,6,,,
Pichidegua,6,3,,,
Quinta de Tilcoco,6,11,,,
Rengo,6,21,,,
Requínoa,6,11,,,
San Vicente de Tagua Tagua,6,20,,,
Pichilemu,6,22,,,
La Estrella,6,2,,,
Litueche,6,6,,,
Marchihue,6,4,,,
Navidad,6,3,,,
Paredones,6,7,,,
San Fernando,6,57,,,
Chépica,6,6,,,
Chimbarongo,6,16,,,
Lolol,6,6,,,
Nancagua,6,13,,,
Palmilla,6,7,,,
Peralillo,6,9,,,
Placilla,6,12,,,
Pumanque,6,2,,,
Santa Cruz,6,20,,,
Talca,7,152,,,
Curicó,7,103,,,
