numero,Region,2016/04/15,2016/04/16,2016/04/17,2016/04/18,2016/04/19,2016/04/20,2016/04/21,2016/04/22,2016/04/23,2016/04/24,2016/04/25,2016/04/26,2016/04/27,2016/04/28,2016/04/29,2016/04/30,2016/05/01,2016/05/02,2016/05/03,2016/05/04,2016/05/05,2016/05/06,2016/05/07,2016/05/08,2016/05/09,2016/05/10,2016/05/11,2016/05/12,2016/05/13,2016/05/14,2016/05/15,2016/05/16,2016/05/17,2016/05/18,2016/05/19,2016/05/20,2016/05/21,2016/05/22,2016/05/23,2016/05/24,2016/05/25,2016/05/26,2016/05/27,2016/05/28,2016/05/29,2016/05/30,2016/05/31,2016/06/01,2016/06/02,2016/06/03,2016/06/04,2016/06/05,2016/06/06,2016/06/07,2016/06/08,2016/06/09,2016/06/10,2016/06/11,2016/06/12,2016/06/13,2016/06/14,2016/06/15,2016/06/16,2016/06/17,2016/06/18,2016/06/19,2016/06/20,2016/06/21,2016/06/22,2016/06/23,2016/06/24,2016/06/25,2016/06/26,2016/06/27,2016/06/28,2016/06/29,2016/06/30,CHECK
15,Región de Arica y Parinacota,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,2,0,2,1,0,0,0,2,0,4,1,0,3,12,3,0,4,2,1,6,12,7,2,1,1,2,0,5,28,0,3,3,1,8,12,17,2,6,7,7,6,0,0,0,0,0,0,0,181
1,Región de Tarapacá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,3,2,5,4,1,3,3,2,11,11,4,3,2,8,11,6,11,5,7,6,13,10,12,24,10,16,16,7,9,0,0,0,0,0,0,0,236
2,Región de Antofagasta,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,0,0,1,3,5,0,0,0,0,2,3,5,1,0,2,4,2,2,1,2,1,5,2,6,9,5,8,1,4,3,2,5,6,10,14,3,50,5,8,5,18,5,8,10,19,13,16,40,13,15,15,11,12,0,0,0,0,0,0,0,387
3,Región de Atacama,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,2,0,2,4,4,1,0,1,2,1,5,3,1,0,2,4,6,1,7,1,1,3,2,5,5,10,5,2,5,1,11,10,10,2,4,5,9,8,15,34,4,15,8,4,1,0,0,0,0,0,0,0,232
4,Región de Coquimbo,0,0,0,0,0,0,0,0,1,2,1,0,1,1,3,1,0,2,0,1,2,0,2,1,0,0,0,2,2,2,0,1,0,3,2,1,0,1,2,4,8,5,7,12,1,5,9,3,5,10,16,1,12,8,8,12,19,33,7,17,12,18,20,41,65,24,31,16,20,21,0,0,0,0,0,0,0,504
5,Región de Valparaíso,0,0,0,0,0,0,0,0,5,0,3,0,0,2,2,3,1,3,1,4,5,2,7,1,3,2,2,3,5,12,2,4,1,5,1,12,8,2,12,9,9,11,16,45,12,11,6,14,18,21,66,19,8,21,23,24,29,111,39,27,27,41,46,85,157,25,63,56,29,33,0,0,0,0,0,0,0,1214
13,Región Metropolitana,0,0,0,0,0,0,0,0,10,12,12,1,4,7,10,14,6,4,6,2,14,12,25,2,4,9,6,19,24,59,9,4,20,10,11,19,61,70,11,16,26,49,51,288,94,64,65,49,48,79,377,88,33,67,136,89,108,563,212,101,80,182,166,314,952,270,212,198,157,159,0,0,0,0,0,0,0,5770
6,Región del Libertador Gral. Bernardo O’Higgins,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,1,0,1,0,2,0,1,0,2,2,1,0,0,1,3,6,4,2,5,7,5,9,10,18,7,5,1,12,11,14,17,3,1,8,14,13,18,40,5,16,19,21,24,33,67,11,37,24,13,19,0,0,0,0,0,0,0,540
7,Región del Maule,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,1,1,3,1,0,2,3,2,0,2,1,2,0,0,2,6,4,2,3,8,9,17,18,24,3,8,9,15,16,20,19,6,14,16,16,53,19,41,11,19,13,22,36,21,56,13,46,28,21,13,0,0,0,0,0,0,0,671
8,Región del Biobío,0,0,0,0,0,0,0,0,9,2,3,0,3,1,4,7,2,3,0,3,0,4,13,2,3,2,3,5,1,7,1,1,3,5,4,6,9,6,4,8,12,11,8,39,2,8,6,14,10,19,50,11,11,10,28,21,34,78,18,14,14,23,39,62,128,21,56,44,46,31,0,0,0,0,0,0,0,992
