numero,Region,Nombre,Poblacion
11,Región Aisén del Gral. Carlos Ibáñez del Campo,Aisén,109317
15,Región de Arica y Parinacota,Arica y Parinacota,243149
16,Extranjero,Extranjero,
12,Región de Magallanes y de la Antártica Chilena,Magallanes,165547
3,Región de Atacama,Atacama,316692
1,Región de Tarapacá,Tarapacá,344760
14,Región de Los Ríos,Los Ríos,407300
2,Región de Antofagasta,Antofagasta,631875
4,Región de Coquimbo,Coquimbo,782801
10,Región de Los Lagos,Los Lagos,847495
6,Región del Libertador Gral. Bernardo O’Higgins,O'Higgins,926828
9,Región de Araucanía,Araucanía,1005322
7,Región del Maule,Maule,1050322
8,Región del Biobío,Biobío,2127902
5,Región de Valparaíso,Valparaíso,1842880
13,Región Metropolitana,Metropolitana,7399042
